chrom	start	end	length	chrom_	start_	end_	gene_name_	strand_	gene_len_	distance
chr1	79770081	79773527	3446	chr1	79772668	79772768	Wdfy1	-	73881	0
chr1	80336100	80337295	1195	chr1	80337005	80337105	Cul3	-	75557	0
chr1	80753355	80755397	2042	chr1	80755078	80755178	Dock10	-	257480	0
chr1	82721118	82723129	2011	chr1	82721642	82721742	C430014B12Rik	-	33189	0
chr1	84834757	84836627	1870	chr1	84835829	84835929	Trip12	-	118115	0
chr1	85101600	85103266	1666	chr1	85102471	85102571	A530040E14Rik	+	8089	0
chr1	85105313	85106313	1000	chr1	85106378	85106478	A530032D15Rik	-	26784	65
chr1	87422684	87424397	1713	chr1	87423686	87423786	Gm16092	-	16028	0
chr1	87493379	87496008	2629	chr1	87495342	87495442	Sp110	-	21918	0
chr1	87497088	87498089	1001	chr1	87496903	87497003	Sp140	+	44659	85
chr1	87689361	87690853	1492	chr1	87689966	87690066	Cab39	+	58135	0
chr1	87960594	87961881	1287	chr1	87960912	87961012	Psmd1	+	98401	0
chr1	88050462	88052002	1540	chr1	88051305	88051405	Armc9	+	123504	0
chr1	88195680	88198019	2339	chr1	88197900	88198000	Gm16341	-	25866	0
chr1	88199469	88200952	1483	chr1	88199746	88199846	B3gnt7	+	4082	0
chr1	88366165	88370174	4009	chr1	88370184	88370284	Rpl30-ps6	+	347	10
chr1	88478434	88479793	1359	chr1	88479154	88479254	Pde6d	-	39635	0
chr1	89110213	89111226	1013	chr1	89110439	89110539	Eif4e2	+	26574	0
chr1	89222687	89224323	1636	chr1	89223523	89223623	Gigyf2	+	123798	0
chr1	89516650	89518340	1690	chr1	89516837	89516937	Inpp5d	+	100195	0
chr1	89651616	89653264	1648	chr1	89652395	89652495	Atg16l1	+	36558	0
chr1	89749006	89750634	1628	chr1	89749812	89749912	Dgkd	+	91202	0
chr1	89904217	89905495	1278	chr1	89905076	89905176	Usp40	-	63430	0
chr1	90101618	90102681	1063	chr1	90102273	90102373	Dnajb3	-	1016	0
chr1	90406009	90407009	1000	chr1	90406411	90406511	Glrp1	-	8763	0
chr1	90597964	90599412	1448	chr1	90598746	90598846	Arl4c	-	29096	0
chr1	90965936	90967021	1085	chr1	90966940	90967040	Sh3bp4	+	84653	0
chr1	92894647	92896257	1610	chr1	92895254	92895354	Lrrfip1	+	130217	0
chr1	93145982	93147752	1770	chr1	93146838	93146938	Ube2f	+	38566	0
chr1	93194086	93197141	3055	chr1	93194865	93194965	Scly	+	22737	0
chr1	93262689	93263689	1000	chr1	93262957	93263057	Fam132b	+	7786	0
chr1	93294606	93296114	1508	chr1	93295310	93295410	Ilkap	-	23376	0
chr1	93309055	93310935	1880	chr1	93310565	93310665	Hes6	-	2555	0
chr1	93355029	93356925	1896	chr1	93355857	93355957	Per2	-	43346	0
chr1	93436131	93438135	2004	chr1	93437092	93437192	Asb1	+	19025	0
chr1	94369614	94371254	1640	chr1	94370387	94370487	Ndufa10	-	34850	0
chr1	94537753	94539433	1680	chr1	94538512	94538612	Myeov2	-	4840	0
chr1	94803254	94804349	1095	chr1	94803516	94803616	Dusp28	+	1631	0
chr1	94807092	94808261	1169	chr1	94807291	94807391	5033417F24Rik	-	2384	0
chr1	94830565	94831639	1074	chr1	94830903	94831003	Capn10	+	13565	0
chr1	95201619	95203382	1763	chr1	95202442	95202542	Mterfd2	-	6704	0
chr1	95238564	95240984	2420	chr1	95240009	95240109	Pask	-	34712	0
chr1	95407603	95409518	1915	chr1	95408606	95408706	Farp2	+	109897	0
chr1	95531519	95533283	1764	chr1	95532249	95532349	Stk25	-	13820	0
chr1	95650417	95652188	1771	chr1	95651365	95651465	Thap4	-	49447	0
chr1	95697826	95698826	1000	chr1	95698461	95698561	Dtymk	-	9358	0
chr1	95700153	95702112	1959	chr1	95700492	95700592	Ing5	+	18136	0
chr1	95721023	95722463	1440	chr1	95721767	95721867	D2hgdh	+	27108	0
chr1	95948525	95950400	1875	chr1	95949080	95949180	Pdcd1	-	14246	0
chr1	97209864	97210932	1068	chr1	97210155	97210255	Fam174a	+	21656	0
chr1	97560867	97565122	4255	chr1	97564121	97564221	St8sia4	-	79910	0
chr1	107559354	107561344	1990	chr1	107560388	107560488	2310035C23Rik	+	91270	0
chr1	107885970	107892971	7001	chr1	107886933	107887033	Zcchc2	+	43668	0
chr1	108067130	108069103	1973	chr1	108068279	108068379	Phlpp1	+	222498	0
chr1	108609863	108611678	1815	chr1	108610801	108610901	Bcl2	-	176096	0
chr1	108692527	108693564	1037	chr1	108693255	108693355	Vps4b	-	32657	0
chr1	120206204	120209370	3166	chr1	120207659	120207759	Tsn	-	12615	0
chr1	120218077	120219119	1042	chr1	120218366	120218466	Mki67ip	+	11983	0
chr1	120284605	120285721	1116	chr1	120285585	120285685	Clasp1	+	220374	0
chr1	120354867	120356499	1632	chr1	120355274	120355374	2900060B14Rik	-	77	0
chr1	120372788	120373788	1000	chr1	120373553	120373653	Gm11102	+	395	0
chr1	121400473	121401673	1200	chr1	121401321	121401421	Ralb	-	34489	0
chr1	121421331	121423424	2093	chr1	121422952	121423052	Tmem185b	+	1799	0
chr1	121732592	121734368	1776	chr1	121734140	121734240	Ptpn4	-	179569	0
chr1	121808458	121810440	1982	chr1	121809735	121809835	Tmem177	-	5318	0
chr1	123327345	123328422	1077	chr1	123327576	123327676	Ccdc93	+	75411	0
chr1	123463415	123464877	1462	chr1	123464516	123464616	Ddx18	-	14154	0
chr1	127330167	127333332	3165	chr1	127332017	127332117	Actr3	-	42584	0
chr1	127456301	127458283	1982	chr1	127457543	127457643	Slc35f5	+	34668	0
chr1	129101164	129102735	1571	chr1	129101513	129101613	Mgat5	+	278718	0
chr1	129573449	129574702	1253	chr1	129574623	129574723	Tmem163	-	191550	0
chr1	129668969	129671676	2707	chr1	129670691	129670791	Ccnt2	+	33897	0
chr1	129765004	129766042	1038	chr1	129765300	129765400	Rab3gap1	+	75095	0
chr1	129997717	130000710	2993	chr1	129999574	129999674	Zranb3	-	148863	0
chr1	130140507	130141795	1288	chr1	130140708	130140808	Ubxn4	+	35196	0
chr1	130255477	130256579	1102	chr1	130256183	130256283	Mcm6	-	28065	0
chr1	130313153	130314235	1082	chr1	130313943	130314043	Dars	-	53708	0
chr1	130410025	130412184	2159	chr1	130411746	130411846	U6	-	104	0
chr1	132357744	132360137	2393	chr1	132359271	132359371	Cd55	-	23717	0
chr1	132613289	132615525	2236	chr1	132613854	132613954	Yod1	+	4728	0
chr1	132760276	132762135	1859	chr1	132762196	132762296	Faim3	+	15121	61
chr1	132916281	132920501	4220	chr1	132916372	132916472	Il10	+	5129	0
chr1	133049459	133050551	1092	chr1	133049708	133049808	Eif2d	+	34477	0
chr1	133141358	133142511	1153	chr1	133141785	133141885	Rassf5	-	68848	0
chr1	133422892	133425319	2427	chr1	133423888	133423988	Srgap2	-	242110	0
chr1	133534541	133536467	1926	chr1	133534833	133534933	Ctse	+	37197	0
chr1	133763435	133764891	1456	chr1	133763751	133763851	Rab7l1	+	5663	0
chr1	133903799	133906407	2608	chr1	133904134	133904234	Elk4	+	25005	0
chr1	134212384	134213423	1039	chr1	134212653	134212753	Nuak2	+	17362	0
chr1	134313160	134314906	1746	chr1	134313980	134314080	Dstyk	+	49506	0
chr1	134372471	134374329	1858	chr1	134373572	134373672	6030442K20Rik	-	10612	0
chr1	134942304	134943431	1127	chr1	134942194	134942294	Pik3c2b	+	63020	10
chr1	135026670	135028660	1990	chr1	135027670	135027770	Ppp1r15b	+	8657	0
chr1	135505980	135507133	1153	chr1	135506818	135506918	Snrpe	-	6420	0
chr1	135584613	135588668	4055	chr1	135586635	135586735	Lax1	-	11079	0
chr1	135696878	135697878	1000	chr1	135697568	135697668	Atp2b4	-	98363	0
chr1	136228988	136229988	1000	chr1	136229455	136229555	Ppfia4	-	36145	0
chr1	136257903	136259405	1502	chr1	136258526	136258626	Tmem183a	-	15902	0
chr1	136301913	136303309	1396	chr1	136302308	136302408	Cyb5r1	+	5959	0
chr1	136311120	136312781	1661	chr1	136311905	136312005	Adipor1	+	17973	0
chr1	136390385	136392845	2460	chr1	136391175	136391275	Rabif	+	15226	0
chr1	136604712	136606289	1577	chr1	136605827	136605927	Syt2	+	43849	0
chr1	136851762	136852907	1145	chr1	136852469	136852569	Ppp1r12b	-	201284	0
chr1	136858353	136859882	1529	chr1	136859092	136859192	Ube2t	+	11597	0
chr1	137028931	137030591	1660	chr1	137029252	137029352	Ptpn7	+	12595	0
chr1	137178781	137180880	2099	chr1	137180611	137180711	Rnpep	-	21372	0
chr1	137209583	137210684	1101	chr1	137210305	137210405	Timm17a	-	12246	0
chr1	137326293	137327363	1070	chr1	137327026	137327126	Ipo9	-	48187	0
chr1	137616006	137617221	1215	chr1	137616588	137616688	Csrp1	+	32171	0
chr1	137662349	137663902	1553	chr1	137662646	137662746	Phlda3	+	3017	0
chr1	137714785	137715982	1197	chr1	137715125	137715225	Lad1	+	14743	0
chr1	138023669	138028904	5235	chr1	138027710	138027810	Gm15850	-	5005	0
chr1	138241969	138243039	1070	chr1	138242631	138242731	Camsap2	-	77981	0
chr1	138311446	138312518	1072	chr1	138312046	138312146	9230116N13Rik	-	3603	0
chr1	140070703	140072177	1474	chr1	140071832	140071932	Ptprc	-	112444	0
chr1	140752755	140753812	1057	chr1	140753381	140753481	2310009B15Rik	-	4875	0
chr1	141318108	141319532	1424	chr1	141318910	141319010	Zbtb41	+	30622	0
chr1	141350319	141352140	1821	chr1	141351300	141351400	Aspm	+	39317	0
chr1	145548454	145550205	1751	chr1	145549973	145550073	Cdc73	-	104096	0
chr1	145585998	145587423	1425	chr1	145586109	145586209	Glrx2	+	10647	0
chr1	145623375	145625476	2101	chr1	145624148	145624248	Trove2	-	26278	0
chr1	145849370	145852213	2843	chr1	145851241	145851341	Rgs2	-	4823	0
chr1	146024489	146026453	1964	chr1	146024452	146024552	Rgs13	-	38705	0
chr1	146095407	146097467	2060	chr1	146096322	146096422	Rgs1	-	5270	0
chr1	151687566	151688732	1166	chr1	151688610	151688710	n-R5s219	+	131	0
chr1	151946153	151947871	1718	chr1	151946954	151947054	7530420F21Rik	-	25001	0
chr1	152239160	152241422	2262	chr1	152240160	152240260	BC003331	-	31775	0
chr1	153191438	153197265	5827	chr1	153191816	153191916	Gm10138	-	367	0
chr1	153274754	153276878	2124	chr1	153275535	153275635	1200016B10Rik	-	60756	0
chr1	153347124	153348208	1084	chr1	153347903	153348003	Rnf2	-	31417	0
chr1	153418214	153419466	1252	chr1	153418266	153418366	Fam129a	+	150753	0
chr1	153936656	153937877	1221	chr1	153937400	153937500	1700025G04Rik	-	205796	0
chr1	154233055	154234089	1034	chr1	154233768	154233868	Tsen15	-	15953	0
chr1	154654272	154655804	1532	chr1	154654970	154655070	Ncf2	+	29100	0
chr1	154749044	154751984	2940	chr1	154749726	154749826	Smg7	-	65650	0
chr1	155178846	155180235	1389	chr1	155179866	155179966	Lamc1	-	113864	0
chr1	155255346	155256401	1055	chr1	155255676	155255776	E330020D12Rik	-	3769	0
chr1	155270404	155272970	2566	chr1	155272242	155272342	1700012A16Rik	+	27412	0
chr1	155595691	155597744	2053	chr1	155596506	155596606	Rnasel	+	14795	0
chr1	155746056	155748012	1956	chr1	155747288	155747388	5830403L16Rik	-	50666	0
chr1	156929183	156937323	8140	chr1	156930346	156930446	Gm9530	-	19743	0
chr1	157004849	157006603	1754	chr1	157005783	157005883	Stx6	+	44814	0
chr1	157263414	157264835	1421	chr1	157264495	157264595	Xpr1	-	141714	0
chr1	157659260	157660806	1546	chr1	157659963	157660063	Qsox1	-	34728	0
chr1	157819629	157821224	1595	chr1	157819970	157820070	Cep350	-	127924	0
chr1	157881758	157884069	2311	chr1	157883560	157883660	Tor1aip1	-	31881	0
chr1	158402977	158404725	1748	chr1	158404409	158404509	Soat1	-	46220	0
chr1	158603735	158605327	1592	chr1	158604437	158604537	Tor3a	-	20739	0
chr1	158648135	158649471	1336	chr1	158649082	158649182	Fam20b	-	40456	0
chr1	158866885	158871334	4449	chr1	158869707	158869807	Ralgps2	-	135460	0
chr1	159341869	159343448	1579	chr1	159342676	159342776	Rasal2	-	277412	0
chr1	161161579	161163709	2130	chr1	161162407	161162507	Rfwd2	+	115254	0
chr1	161974380	161975876	1496	chr1	161974465	161974565	4930523C07Rik	+	34044	0
chr1	162124380	162126098	1718	chr1	162125296	162125396	Mrps14	+	6955	0
chr1	162141757	162143919	2162	chr1	162142858	162142958	Cacybp	-	9852	0
chr1	162721924	162724311	2387	chr1	162723019	162723119	Rabgap1l	-	573764	0
chr1	163000123	163003234	3111	chr1	163000739	163000839	Dars2	-	30057	0
chr1	163060770	163062411	1641	chr1	163061592	163061692	Klhl20	-	43136	0
chr1	163180567	163181615	1048	chr1	163181300	163181400	Prdx6	-	11107	0
chr1	163805936	163807830	1894	chr1	163806742	163806842	AI848100	-	60549	0
chr1	163935192	163936192	1000	chr1	163935050	163935150	2810442N19Rik	+	11525	42
chr1	164477023	164479550	2527	chr1	164478632	164478732	Mettl13	-	16424	0
chr1	164499749	164502412	2663	chr1	164500596	164500696	Vamp4	+	28569	0
chr1	165333454	165334495	1041	chr1	165333722	165333822	Gorab	-	18732	0
chr1	165708883	165710570	1687	chr1	165709664	165709764	Kifap3	+	137526	0
chr1	166178126	166181857	3731	chr1	166179127	166179227	Slc19a2	+	16339	0
chr1	166204884	166206563	1679	chr1	166205666	166205766	4930455F23Rik	+	12262	0
chr1	166236896	166238569	1673	chr1	166237570	166237670	Blzf1	-	17689	0
chr1	167123356	167124654	1298	chr1	167124514	167124614	Sft2d2	-	20092	0
chr1	167166235	167167405	1170	chr1	167167024	167167124	Tiprl	-	22021	0
chr1	167563856	167565008	1152	chr1	167564622	167564722	Mpzl1	-	42360	0
chr1	167637495	167638507	1012	chr1	167638175	167638275	Rcsd1	-	59149	0
chr1	167692889	167694756	1867	chr1	167693827	167693927	Creg1	+	11562	0
chr1	167709880	167711668	1788	chr1	167711156	167711256	Gm16565	+	8292	0
chr1	168308558	168310251	1693	chr1	168309178	168309278	Tada1	+	14524	0
chr1	168930557	168931638	1081	chr1	168930922	168931022	Gm16701	-	26817	0
chr1	169238003	169239060	1057	chr1	169238751	169238851	Tmco1	+	25308	0
chr1	170362374	170363411	1037	chr1	170362351	170362451	Pbx1	-	312271	0
chr1	171459732	171462776	3044	chr1	171461545	171461645	Nuf2	-	33530	0
chr1	171897960	171900301	2341	chr1	171899322	171899422	Hsd17b7	-	19706	0
chr1	172104108	172107088	2980	chr1	172105038	172105138	Uap1	-	33019	0
chr1	172144662	172146299	1637	chr1	172145478	172145578	Uhmk1	-	21977	0
chr1	172519179	172520408	1229	chr1	172519942	172520042	Nos1ap	-	287193	0
chr1	172797153	172798198	1045	chr1	172797852	172797952	Atf6	-	163314	0
chr1	172798398	172799398	1000	chr1	172798726	172798826	Gm9929	+	13076	0
chr1	172814183	172815906	1723	chr1	172815621	172815721	Dusp12	-	12042	0
chr1	172855687	172857943	2256	chr1	172857664	172857764	Fcrla	-	10007	0
chr1	173043413	173044583	1170	chr1	173043999	173044099	1700009P17Rik	+	13049	0
chr1	173079802	173081027	1225	chr1	173080684	173080784	Sdhc	-	23438	0
chr1	173150908	173153651	2743	chr1	173152595	173152695	Tomm40l	-	4712	0
chr1	173176530	173179489	2959	chr1	173177203	173177303	Ndufs2	-	12269	0
chr1	173210582	173212306	1724	chr1	173211267	173211367	Ppox	-	5196	0
chr1	173217393	173219189	1796	chr1	173218072	173218172	Usp21	-	6046	0
chr1	173258694	173260083	1389	chr1	173259226	173259326	Dedd	+	13186	0
chr1	173535964	173537872	1908	chr1	173537491	173537591	Ly9	-	18786	0
chr1	173696786	173697786	1000	chr1	173697208	173697308	Slamf1	+	34057	0
chr1	174011974	174013163	1189	chr1	174012876	174012976	Ncstn	-	16782	0
chr1	174305327	174307687	2360	chr1	174306612	174306712	Pigm	+	7568	0
chr1	174403048	174406162	3114	chr1	174405439	174405539	Slamf9	+	3217	0
chr1	174411542	174412834	1292	chr1	174411869	174411969	Igsf9	+	17090	0
chr1	174450278	174454003	3725	chr1	174451125	174451225	Ccdc19	+	24826	0
chr1	174562429	174564069	1640	chr1	174563055	174563155	Dusp23	-	2205	0
chr1	174824511	174825519	1008	chr1	174825135	174825235	Apcs	-	1092	0
chr1	175420746	175421746	1000	chr1	175421122	175421222	Gm4955	-	22532	0
chr1	175560124	175562115	1991	chr1	175560940	175561040	Pyhin1	+	17069	0
chr1	175603424	175604424	1000	chr1	175603992	175604092	Pydc3	+	24481	0
chr1	175671254	175672913	1659	chr1	175671828	175671928	AI607873	-	18064	0
